"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227200.1",12.4530982811947,2.70837849512529,0.642667092641938,4.21427909742729,2.50577268440398e-05,0.00545066551617323
"ENSG00000280388.1",28.5674158928681,1.70577881728461,0.4047933449296,4.21394975646468,2.50943132728832e-05,0.00545066551617323
"ENSG00000237331.1",5.231365266832,2.8077463099765,0.666312960564809,4.21385516439073,2.51048308792227e-05,0.00545066551617323
"ENSG00000172209.5",23.2719771314804,2.93220206054374,0.696007183834962,4.21289051125516,2.52123294800964e-05,0.00545066551617323
"ENSG00000279342.1",23.2976351946062,1.6337175093872,0.388297826353366,4.20738257726032,2.58345565457761e-05,0.00547485853501793
"ENSG00000227176.1",6.83193457225183,2.08522037126002,0.495613411625209,4.20735259044382,2.5837983770342e-05,0.00547485853501793
"ENSG00000224727.1",15.0189559601605,2.1744577390737,0.516903171552969,4.20670225826013,2.59124173835438e-05,0.00547485853501793
"ENSG00000197191.4",80.4301629599137,-1.53466289149545,0.364872415265439,-4.20602607182297,2.59900263783202e-05,0.00547485853501793
"ENSG00000121335.11",1.85286010217851,3.36272615157172,0.799664881897506,4.20516922487878,2.60886881896223e-05,0.00547485853501793
"ENSG00000275811.1",5.21041207603185,3.85713137032393,0.917606515917016,4.20346990067881,2.62854119201643e-05,0.00547485853501793
"ENSG00000270531.1",3.8678358024635,4.21999424187513,1.00434920011976,4.20172012022505,2.64894505310603e-05,0.00547485853501793
"ENSG00000228663.1",20.0231314920501,2.0286063445929,0.482843711125826,4.20137261364115,2.65301514912763e-05,0.00547485853501793
"ENSG00000223722.3",45.1534269121466,-2.26266401356717,0.539408767072725,-4.19471123142148,2.7321943666598e-05,0.00560640109588045
"ENSG00000267136.1",29.732143116464,2.76429898798037,0.660376291444355,4.18594523121716,2.83981823109703e-05,0.00579450551423843
"ENSG00000238829.1",16.6388098951866,2.48489298448274,0.59520577601664,4.17484689263713,2.9818652993966e-05,0.00602760490231017
"ENSG00000262495.1",1.66328666594946,3.16535222360161,0.75832699992331,4.17412570556202,2.99132565363649e-05,0.00602760490231017
"ENSG00000054179.10",136.370265521755,-1.70051590762886,0.407487356572525,-4.17317465241697,3.00384495406977e-05,0.00602760490231017
"ENSG00000230322.1",30.1625072478559,4.4586492070921,1.06948910667597,4.16895242715453,3.06002845120608e-05,0.00610660622790137
"ENSG00000165349.10",9.40800243619668,2.61282781630581,0.627871153718461,4.16140764045581,3.16291916074929e-05,0.00620751156243541
"ENSG00000184956.14",103.924145836136,-2.16279758949315,0.519744037704357,-4.16127445933953,3.16476458492564e-05,0.00620751156243541
"ENSG00000273302.1",14.3640374453866,1.57647092942542,0.378872911921293,4.16094917272131,3.1692762208861e-05,0.00620751156243541
"ENSG00000178718.6",877.231736758903,-0.917805945777199,0.220614885842158,-4.16021766742365,3.17944433200306e-05,0.00620751156243541
"ENSG00000212588.1",23.0290132459247,1.98325970217133,0.476856546959456,4.15902793998957,3.19604807867682e-05,0.00620751156243541
"ENSG00000215720.4",6.05572051432423,3.32439445467018,0.799733985437546,4.15687530504453,3.22629967812079e-05,0.00623293639943336
"ENSG00000228695.8",25.5179633939518,-2.15086382254116,0.517913025670616,-4.15294405804165,3.28224999135218e-05,0.0063074772320588
"ENSG00000229191.1",5.70796898816566,1.90664476609963,0.45968072436802,4.14775879219415,3.35745854172204e-05,0.00636228956766651
"ENSG00000224891.1",6.39862274964453,2.71959085921508,0.655685705524198,4.14770496947293,3.35824771817892e-05,0.00636228956766651
"ENSG00000279806.1",62.3002907984099,-2.71253410115586,0.654038897730927,-4.14735898822917,3.36332488158582e-05,0.00636228956766651
"ENSG00000243193.3",4.28010774008523,2.83777786539892,0.684962339264586,4.14296918637267,3.42838023777746e-05,0.00642021282450243
"ENSG00000177688.6",10.0779505775462,1.80084999169727,0.43470450864001,4.14269913447942,3.43242108985419e-05,0.00642021282450243
"ENSG00000262519.1",4.21864191957628,-1.81593388607058,0.438496080158569,-4.14127735284179,3.45377026122718e-05,0.00642021282450243
"ENSG00000259381.2",11.6486831297217,1.56795144013996,0.378709999052101,4.14024304630059,3.46938036700055e-05,0.00642021282450243
"ENSG00000223528.6",10.3086291001157,2.42453825649299,0.58585436753247,4.13846578750411,3.49635996408207e-05,0.00642021282450243
"ENSG00000267702.1",71.5604203721507,2.36048676510375,0.570410222749165,4.13822661474594,3.50000589000958e-05,0.00642021282450243
"ENSG00000249307.4",313.389188645493,2.63407239381648,0.63734901807464,4.13285706750395,3.58281548114114e-05,0.00653908835552996
"ENSG00000100721.9",71.5937536200917,1.89219807217077,0.458106747749106,4.1304741339612,3.62015827308393e-05,0.00657420742392042
"ENSG00000223522.1",24.6353028605518,1.99879425018046,0.485031263448531,4.12095961808565,3.77297560392033e-05,0.0068176355191237
"ENSG00000255882.1",5.145549074314,3.68520910384943,0.89525040129856,4.11640039312357,3.84835531000458e-05,0.00691941905244388
"ENSG00000248254.1",6.98257374779595,1.91041493830089,0.464305798223604,4.11456188057523,3.87915487942623e-05,0.00693299872554674
"ENSG00000261451.1",12.9497100910705,2.47545653109452,0.601762694516301,4.11367562936799,3.89408518725643e-05,0.00693299872554674
"ENSG00000260392.4",2.48983405398354,2.80954803026937,0.683882367731689,4.10823288161108,3.98697976969617e-05,0.0070637612309934
"ENSG00000230084.4",16.3938682179739,1.43149676272544,0.349067881892716,4.10091227804627,4.11524551491074e-05,0.00725561733502708
"ENSG00000230539.1",3.39492547497598,3.04594398764396,0.743050211408556,4.09924382077753,4.14502189154828e-05,0.0072666722875794
"ENSG00000264853.1",23.1892942399547,3.16475541893328,0.772383315232085,4.09738967235761,4.17835202230075e-05,0.0072666722875794
"ENSG00000251129.1",22.2198291073689,-4.72861031729403,1.15410404626507,-4.09721318679787,4.18153774257735e-05,0.0072666722875794
"ENSG00000122591.10",2823.60203543261,1.33443621875318,0.325883308306408,4.0948283779496,4.22481224919684e-05,0.00730691337575378
"ENSG00000211891.5",128.192403083435,2.48976033152668,0.608244951555521,4.09335141238638,4.25182581556781e-05,0.00731878263608639
"ENSG00000253399.1",5.40870951811514,2.84948612312846,0.696481244380632,4.0912603837056,4.2903508908848e-05,0.00731920790952777
"ENSG00000225530.1",128.953010601233,-3.42914431227497,0.838185729591968,-4.09115091227369,4.29237688526821e-05,0.00731920790952777
"ENSG00000228382.1",4.77038429738846,2.33728408125677,0.571957019650073,4.08646804035509,4.37989786974447e-05,0.00737699209638813
